fpkm	substitutions_POC_to_nonPOC_codon	substitutions_nonPOC_to_POC_codon	substitutions_POC_to_nonPOC_intron	substitutions_nonPOC_to_POC_intron	fpkm	snps_POC_to_nonPOC_codon	snps_nonPOC_to_POC_codon	snps_POC_to_nonPOC_intron	snps_nonPOC_to_POC_intron
0.0240686	2179	1285	356	349	0.0240686	3244	1208	1240	892
0.0670829	1753	554	510	379	0.0670829	3063	1034	1689	1234
0.109419	1406	498	432	350	0.109419	2509	883	1612	1274
0.159267	1536	516	490	302	0.159267	2663	922	1511	1148
0.213905	1238	428	557	465	0.213905	2251	702	1850	1357
0.284285	1319	434	555	493	0.284285	2174	863	1771	1220
0.376451	1487	494	987	732	0.376451	2396	774	2991	2122
0.484929	1455	544	755	584	0.484929	2616	943	2907	2022
0.629742	1455	478	649	444	0.629742	2431	804	2236	1683
0.795592	1533	452	1738	1253	0.795592	3108	994	6704	4855
0.99632	1672	500	1974	1332	0.99632	3075	1035	6763	4974
1.23378	1519	470	1953	1535	1.23378	2716	911	7584	5708
1.55827	1620	529	1704	1241	1.55827	2751	886	6376	4720
1.85636	1522	468	2207	1639	1.85636	2708	889	7301	5298
2.197685	1542	497	1970	1535	2.197685	3073	977	7620	5417
2.50569	1696	486	2244	1615	2.50569	3108	921	8021	5530
2.89588	1759	605	1785	1145	2.89588	3408	1041	6588	4642
3.26101	1799	515	1750	1221	3.26101	3375	1083	5806	4305
3.66694	1676	514	1704	1267	3.66694	2869	938	5770	4054
4.10765	1915	603	1781	1276	4.10765	2909	914	5554	3831
4.51748	1680	530	1813	1206	4.51748	2920	898	6432	4560
4.991995	2029	667	1438	1050	4.991995	3529	1159	5752	4073
5.50867	1879	568	1485	1058	5.50867	3088	972	6070	4240
6.0091	1782	623	1565	1246	6.0091	3218	1079	5454	4132
6.57181	1739	611	1609	1196	6.57181	2687	901	6596	4785
7.079455	2328	768	1827	1277	7.079455	4020	1417	5190	3784
7.6222	1817	556	1805	1396	7.6222	3102	963	6741	4909
8.2176	1826	616	1626	1177	8.2176	2830	912	5424	4010
8.850935	1887	623	1637	1261	8.850935	3183	1003	5121	3645
9.52459	2022	639	1559	1097	9.52459	3411	1066	5166	3638
10.2255	1754	579	1555	1036	10.2255	2770	822	4583	3308
10.9403	2118	645	1780	1361	10.9403	3410	1097	5683	3960
11.7306	1825	572	1465	1099	11.7306	2947	808	4436	3238
12.6206	1583	455	1731	1271	12.6206	2856	884	6170	4421
13.6707	1886	606	2135	1729	13.6707	3055	964	7042	5141
14.78265	1831	581	1935	1378	14.78265	2932	929	5994	4314
15.9366	1600	534	1510	1250	15.9366	2912	825	5138	3648
17.3772	1765	573	2490	1822	17.3772	2802	877	7634	5289
18.9775	1755	505	2037	1488	18.9775	2858	897	6620	4783
20.66865	1673	545	2098	1607	20.66865	2584	830	6705	4769
22.957	1368	428	1976	1399	22.957	2532	746	7004	5008
25.475	1860	657	2457	1698	25.475	2434	748	6483	4490
28.582	1400	479	1858	1200	28.582	2177	672	5049	3627
32.9023	1543	464	1514	1053	32.9023	2545	735	5439	3855
38.3451	1590	511	1999	1348	38.3451	3452	1098	6255	4617
45.4342	1429	474	1999	1492	45.4342	2373	700	7270	5314
58.16795	1282	425	1502	1182	58.16795	2003	605	4273	3032
80.4057	1044	318	1070	806	80.4057	1713	410	2856	2222
135.621	845	242	1589	1177	135.621	1600	376	4184	3090
418.622	445	106	521	399	418.622	866	173	1708	1133
