species	rank_no	name	rank	id
Abrus_precatorius	1	cellular organisms	no rank	131567
Abrus_precatorius	2	Eukaryota	superkingdom	2759
Abrus_precatorius	3	Viridiplantae	kingdom	33090
Abrus_precatorius	4	Streptophyta	phylum	35493
Abrus_precatorius	5	Streptophytina	subphylum	131221
Abrus_precatorius	6	Embryophyta	clade	3193
Abrus_precatorius	7	Tracheophyta	clade	58023
Abrus_precatorius	8	Euphyllophyta	clade	78536
Abrus_precatorius	9	Spermatophyta	clade	58024
Abrus_precatorius	10	Magnoliopsida	class	3398
Abrus_precatorius	11	Mesangiospermae	clade	1437183
Abrus_precatorius	12	eudicotyledons	clade	71240
Abrus_precatorius	13	Gunneridae	clade	91827
Abrus_precatorius	14	Pentapetalae	clade	1437201
Abrus_precatorius	15	rosids	clade	71275
Abrus_precatorius	16	fabids	clade	91835
Abrus_precatorius	17	Fabales	order	72025
Abrus_precatorius	18	Fabaceae	family	3803
Abrus_precatorius	19	Papilionoideae	subfamily	3814
Abrus_precatorius	20	50 kb inversion clade	clade	2231393
Abrus_precatorius	21	NPAAA clade	clade	2231382
Abrus_precatorius	22	indigoferoid/millettioid clade	clade	2233855
Abrus_precatorius	23	Abreae	tribe	163715
Abrus_precatorius	24	Abrus	genus	3815
Abrus_precatorius	25	Abrus precatorius	species	3816
Acanthaster_planci	1	cellular organisms	no rank	131567
Acanthaster_planci	2	Eukaryota	superkingdom	2759
Acanthaster_planci	3	Opisthokonta	clade	33154
Acanthaster_planci	4	Metazoa	kingdom	33208
Acanthaster_planci	5	Eumetazoa	clade	6072
Acanthaster_planci	6	Bilateria	clade	33213
Acanthaster_planci	7	Deuterostomia	clade	33511
Acanthaster_planci	8	Echinodermata	phylum	7586
Acanthaster_planci	9	Eleutherozoa	clade	133551
Acanthaster_planci	10	Asterozoa	superclass	7587
Acanthaster_planci	11	Asteroidea	class	7588
Acanthaster_planci	12	Valvatacea	superorder	41243
Acanthaster_planci	13	Valvatida	order	41166
Acanthaster_planci	14	Acanthasteridae	family	133432
Acanthaster_planci	15	Acanthaster	genus	133433
Acanthaster_planci	16	Acanthaster planci	species	133434
Acanthisitta_chloris	1	cellular organisms	no rank	131567
Acanthisitta_chloris	2	Eukaryota	superkingdom	2759
Acanthisitta_chloris	3	Opisthokonta	clade	33154
Acanthisitta_chloris	4	Metazoa	kingdom	33208
Acanthisitta_chloris	5	Eumetazoa	clade	6072
Acanthisitta_chloris	6	Bilateria	clade	33213
Acanthisitta_chloris	7	Deuterostomia	clade	33511
Acanthisitta_chloris	8	Chordata	phylum	7711
Acanthisitta_chloris	9	Craniata	subphylum	89593
Acanthisitta_chloris	10	Vertebrata	clade	7742
Acanthisitta_chloris	11	Gnathostomata	clade	7776
Acanthisitta_chloris	12	Teleostomi	clade	117570
Acanthisitta_chloris	13	Euteleostomi	clade	117571
Acanthisitta_chloris	14	Sarcopterygii	superclass	8287
Acanthisitta_chloris	15	Dipnotetrapodomorpha	clade	1338369
Acanthisitta_chloris	16	Tetrapoda	clade	32523
Acanthisitta_chloris	17	Amniota	clade	32524
Acanthisitta_chloris	18	Sauropsida	clade	8457
Acanthisitta_chloris	19	Sauria	clade	32561
Acanthisitta_chloris	20	Archelosauria	clade	1329799
Acanthisitta_chloris	21	Archosauria	clade	8492
Acanthisitta_chloris	22	Dinosauria	clade	436486
Acanthisitta_chloris	23	Saurischia	clade	436489
