species	rank_no	name	rank	id
Acanthisitta_chloris	24	Theropoda	clade	436491
Acanthisitta_chloris	25	Coelurosauria	clade	436492
Acanthisitta_chloris	26	Aves	class	8782
Acanthisitta_chloris	27	Neognathae	infraclass	8825
Acanthisitta_chloris	28	Passeriformes	order	9126
Acanthisitta_chloris	29	Acanthisittidae	family	38633
Acanthisitta_chloris	30	Acanthisitta	genus	57067
Acanthisitta_chloris	31	Acanthisitta chloris	species	57068
Acanthocheilonema_viteae	1	cellular organisms	no rank	131567
Acanthocheilonema_viteae	2	Eukaryota	superkingdom	2759
Acanthocheilonema_viteae	3	Opisthokonta	clade	33154
Acanthocheilonema_viteae	4	Metazoa	kingdom	33208
Acanthocheilonema_viteae	5	Eumetazoa	clade	6072
Acanthocheilonema_viteae	6	Bilateria	clade	33213
Acanthocheilonema_viteae	7	Protostomia	clade	33317
Acanthocheilonema_viteae	8	Ecdysozoa	clade	1206794
Acanthocheilonema_viteae	9	Nematoda	phylum	6231
Acanthocheilonema_viteae	10	Chromadorea	class	119089
Acanthocheilonema_viteae	11	Rhabditida	order	6236
Acanthocheilonema_viteae	12	Spirurina	suborder	6274
Acanthocheilonema_viteae	13	Spiruromorpha	infraorder	2072716
Acanthocheilonema_viteae	14	Filarioidea	superfamily	6295
Acanthocheilonema_viteae	15	Onchocercidae	family	6296
Acanthocheilonema_viteae	16	Acanthocheilonema	genus	6276
Acanthocheilonema_viteae	17	Acanthocheilonema viteae	species	6277
Acanthochromis_polyacanthus	1	cellular organisms	no rank	131567
Acanthochromis_polyacanthus	2	Eukaryota	superkingdom	2759
Acanthochromis_polyacanthus	3	Opisthokonta	clade	33154
Acanthochromis_polyacanthus	4	Metazoa	kingdom	33208
Acanthochromis_polyacanthus	5	Eumetazoa	clade	6072
Acanthochromis_polyacanthus	6	Bilateria	clade	33213
Acanthochromis_polyacanthus	7	Deuterostomia	clade	33511
Acanthochromis_polyacanthus	8	Chordata	phylum	7711
Acanthochromis_polyacanthus	9	Craniata	subphylum	89593
Acanthochromis_polyacanthus	10	Vertebrata	clade	7742
Acanthochromis_polyacanthus	11	Gnathostomata	clade	7776
Acanthochromis_polyacanthus	12	Teleostomi	clade	117570
Acanthochromis_polyacanthus	13	Euteleostomi	clade	117571
Acanthochromis_polyacanthus	14	Actinopterygii	superclass	7898
Acanthochromis_polyacanthus	15	Actinopteri	class	186623
Acanthochromis_polyacanthus	16	Neopterygii	subclass	41665
Acanthochromis_polyacanthus	17	Teleostei	infraclass	32443
Acanthochromis_polyacanthus	18	Osteoglossocephalai	clade	1489341
Acanthochromis_polyacanthus	19	Clupeocephala	no rank	186625
Acanthochromis_polyacanthus	20	Euteleosteomorpha	cohort	1489388
Acanthochromis_polyacanthus	21	Neoteleostei	clade	123365
Acanthochromis_polyacanthus	22	Eurypterygia	clade	123366
Acanthochromis_polyacanthus	23	Ctenosquamata	clade	123367
Acanthochromis_polyacanthus	24	Acanthomorphata	clade	123368
Acanthochromis_polyacanthus	25	Euacanthomorphacea	clade	123369
Acanthochromis_polyacanthus	26	Percomorphaceae	clade	1489872
Acanthochromis_polyacanthus	27	Ovalentaria	clade	1489908
Acanthochromis_polyacanthus	28	Ovalentaria incertae sedis	no rank	1489909
Acanthochromis_polyacanthus	29	Pomacentridae	family	30863
Acanthochromis_polyacanthus	30	Acanthochromis	genus	80965
Acanthochromis_polyacanthus	31	Acanthochromis polyacanthus	species	80966
Acanthopagrus_latus	1	cellular organisms	no rank	131567
Acanthopagrus_latus	2	Eukaryota	superkingdom	2759
Acanthopagrus_latus	3	Opisthokonta	clade	33154
Acanthopagrus_latus	4	Metazoa	kingdom	33208
Acanthopagrus_latus	5	Eumetazoa	clade	6072
Acanthopagrus_latus	6	Bilateria	clade	33213
Acanthopagrus_latus	7	Deuterostomia	clade	33511
Acanthopagrus_latus	8	Chordata	phylum	7711
Acanthopagrus_latus	9	Craniata	subphylum	89593
Acanthopagrus_latus	10	Vertebrata	clade	7742
Acanthopagrus_latus	11	Gnathostomata	clade	7776
Acanthopagrus_latus	12	Teleostomi	clade	117570
Acanthopagrus_latus	13	Euteleostomi	clade	117571
Acanthopagrus_latus	14	Actinopterygii	superclass	7898
Acanthopagrus_latus	15	Actinopteri	class	186623
Acanthopagrus_latus	16	Neopterygii	subclass	41665
Acanthopagrus_latus	17	Teleostei	infraclass	32443
Acanthopagrus_latus	18	Osteoglossocephalai	clade	1489341
Acanthopagrus_latus	19	Clupeocephala	no rank	186625
Acanthopagrus_latus	20	Euteleosteomorpha	cohort	1489388
Acanthopagrus_latus	21	Neoteleostei	clade	123365
Acanthopagrus_latus	22	Eurypterygia	clade	123366
Acanthopagrus_latus	23	Ctenosquamata	clade	123367
Acanthopagrus_latus	24	Acanthomorphata	clade	123368
Acanthopagrus_latus	25	Euacanthomorphacea	clade	123369
Acanthopagrus_latus	26	Percomorphaceae	clade	1489872
Acanthopagrus_latus	27	Eupercaria	clade	1489922
Acanthopagrus_latus	28	Spariformes	order	1489931
Acanthopagrus_latus	29	Sparidae	family	8169
Acanthopagrus_latus	30	Acanthopagrus	genus	8176
Acanthopagrus_latus	31	Acanthopagrus latus	species	8177
Acanthoscelides_obtectus	1	cellular organisms	no rank	131567
Acanthoscelides_obtectus	2	Eukaryota	superkingdom	2759
Acanthoscelides_obtectus	3	Opisthokonta	clade	33154
Acanthoscelides_obtectus	4	Metazoa	kingdom	33208
Acanthoscelides_obtectus	5	Eumetazoa	clade	6072
Acanthoscelides_obtectus	6	Bilateria	clade	33213
Acanthoscelides_obtectus	7	Protostomia	clade	33317
Acanthoscelides_obtectus	8	Ecdysozoa	clade	1206794
Acanthoscelides_obtectus	9	Panarthropoda	clade	88770
Acanthoscelides_obtectus	10	Arthropoda	phylum	6656
Acanthoscelides_obtectus	11	Mandibulata	clade	197563
Acanthoscelides_obtectus	12	Pancrustacea	clade	197562
Acanthoscelides_obtectus	13	Hexapoda	subphylum	6960
Acanthoscelides_obtectus	14	Insecta	class	50557
Acanthoscelides_obtectus	15	Dicondylia	clade	85512
Acanthoscelides_obtectus	16	Pterygota	subclass	7496
Acanthoscelides_obtectus	17	Neoptera	infraclass	33340
Acanthoscelides_obtectus	18	Endopterygota	cohort	33392
Acanthoscelides_obtectus	19	Coleoptera	order	7041
Acanthoscelides_obtectus	20	Polyphaga	suborder	41084
Acanthoscelides_obtectus	21	Cucujiformia	infraorder	41088
Acanthoscelides_obtectus	22	Chrysomeloidea	superfamily	71528
Acanthoscelides_obtectus	23	Chrysomelidae	family	27439
Acanthoscelides_obtectus	24	Bruchinae	subfamily	64387
Acanthoscelides_obtectus	25	Bruchini	tribe	256835
Acanthoscelides_obtectus	26	Acanthoscelides	genus	200916
Acanthoscelides_obtectus	27	Acanthoscelides obtectus	species	200917
Accipiter_gentilis	1	cellular organisms	no rank	131567
Accipiter_gentilis	2	Eukaryota	superkingdom	2759
Accipiter_gentilis	3	Opisthokonta	clade	33154
Accipiter_gentilis	4	Metazoa	kingdom	33208
Accipiter_gentilis	5	Eumetazoa	clade	6072
Accipiter_gentilis	6	Bilateria	clade	33213
Accipiter_gentilis	7	Deuterostomia	clade	33511
Accipiter_gentilis	8	Chordata	phylum	7711
Accipiter_gentilis	9	Craniata	subphylum	89593
Accipiter_gentilis	10	Vertebrata	clade	7742
Accipiter_gentilis	11	Gnathostomata	clade	7776
Accipiter_gentilis	12	Teleostomi	clade	117570
Accipiter_gentilis	13	Euteleostomi	clade	117571
Accipiter_gentilis	14	Sarcopterygii	superclass	8287
Accipiter_gentilis	15	Dipnotetrapodomorpha	clade	1338369
Accipiter_gentilis	16	Tetrapoda	clade	32523
Accipiter_gentilis	17	Amniota	clade	32524
Accipiter_gentilis	18	Sauropsida	clade	8457
Accipiter_gentilis	19	Sauria	clade	32561
Accipiter_gentilis	20	Archelosauria	clade	1329799
Accipiter_gentilis	21	Archosauria	clade	8492
Accipiter_gentilis	22	Dinosauria	clade	436486
Accipiter_gentilis	23	Saurischia	clade	436489
Accipiter_gentilis	24	Theropoda	clade	436491
Accipiter_gentilis	25	Coelurosauria	clade	436492
Accipiter_gentilis	26	Aves	class	8782
Accipiter_gentilis	27	Neognathae	infraclass	8825
Accipiter_gentilis	28	Accipitriformes	order	2558200
Accipiter_gentilis	29	Accipitridae	family	56259
Accipiter_gentilis	30	Accipitrinae	subfamily	8955
Accipiter_gentilis	31	Accipiter	genus	8956
Accipiter_gentilis	32	Accipiter gentilis	species	8957
Acinonyx_jubatus	1	cellular organisms	no rank	131567
Acinonyx_jubatus	2	Eukaryota	superkingdom	2759
Acinonyx_jubatus	3	Opisthokonta	clade	33154
Acinonyx_jubatus	4	Metazoa	kingdom	33208
Acinonyx_jubatus	5	Eumetazoa	clade	6072
Acinonyx_jubatus	6	Bilateria	clade	33213
Acinonyx_jubatus	7	Deuterostomia	clade	33511
Acinonyx_jubatus	8	Chordata	phylum	7711
Acinonyx_jubatus	9	Craniata	subphylum	89593
Acinonyx_jubatus	10	Vertebrata	clade	7742
Acinonyx_jubatus	11	Gnathostomata	clade	7776
Acinonyx_jubatus	12	Teleostomi	clade	117570
Acinonyx_jubatus	13	Euteleostomi	clade	117571
Acinonyx_jubatus	14	Sarcopterygii	superclass	8287
Acinonyx_jubatus	15	Dipnotetrapodomorpha	clade	1338369
Acinonyx_jubatus	16	Tetrapoda	clade	32523
Acinonyx_jubatus	17	Amniota	clade	32524
Acinonyx_jubatus	18	Mammalia	class	40674
Acinonyx_jubatus	19	Theria	clade	32525
Acinonyx_jubatus	20	Eutheria	clade	9347
Acinonyx_jubatus	21	Boreoeutheria	clade	1437010
Acinonyx_jubatus	22	Laurasiatheria	superorder	314145
Acinonyx_jubatus	23	Carnivora	order	33554
Acinonyx_jubatus	24	Feliformia	suborder	379583
Acinonyx_jubatus	25	Felidae	family	9681
Acinonyx_jubatus	26	Acinonychinae	subfamily	338151
Acinonyx_jubatus	27	Acinonyx	genus	32535
Acinonyx_jubatus	28	Acinonyx jubatus	species	32536
Acipenser_ruthenus	1	cellular organisms	no rank	131567
Acipenser_ruthenus	2	Eukaryota	superkingdom	2759
Acipenser_ruthenus	3	Opisthokonta	clade	33154
Acipenser_ruthenus	4	Metazoa	kingdom	33208
Acipenser_ruthenus	5	Eumetazoa	clade	6072
Acipenser_ruthenus	6	Bilateria	clade	33213
Acipenser_ruthenus	7	Deuterostomia	clade	33511
Acipenser_ruthenus	8	Chordata	phylum	7711
Acipenser_ruthenus	9	Craniata	subphylum	89593
Acipenser_ruthenus	10	Vertebrata	clade	7742
Acipenser_ruthenus	11	Gnathostomata	clade	7776
Acipenser_ruthenus	12	Teleostomi	clade	117570
Acipenser_ruthenus	13	Euteleostomi	clade	117571
Acipenser_ruthenus	14	Actinopterygii	superclass	7898
Acipenser_ruthenus	15	Actinopteri	class	186623
Acipenser_ruthenus	16	Chondrostei	subclass	32440
Acipenser_ruthenus	17	Acipenseriformes	order	7899
Acipenser_ruthenus	18	Acipenseroidei	suborder	186622
Acipenser_ruthenus	19	Acipenseridae	family	7900
Acipenser_ruthenus	20	Acipenserinae	subfamily	124129
Acipenser_ruthenus	21	Acipenserini	tribe	124130
Acipenser_ruthenus	22	Acipenser	genus	7901
Acipenser_ruthenus	23	Acipenser ruthenus	species	7906
Acomys_russatus	1	cellular organisms	no rank	131567
Acomys_russatus	2	Eukaryota	superkingdom	2759
Acomys_russatus	3	Opisthokonta	clade	33154
Acomys_russatus	4	Metazoa	kingdom	33208
Acomys_russatus	5	Eumetazoa	clade	6072
Acomys_russatus	6	Bilateria	clade	33213
Acomys_russatus	7	Deuterostomia	clade	33511
Acomys_russatus	8	Chordata	phylum	7711
Acomys_russatus	9	Craniata	subphylum	89593
Acomys_russatus	10	Vertebrata	clade	7742
Acomys_russatus	11	Gnathostomata	clade	7776
Acomys_russatus	12	Teleostomi	clade	117570
Acomys_russatus	13	Euteleostomi	clade	117571
Acomys_russatus	14	Sarcopterygii	superclass	8287
Acomys_russatus	15	Dipnotetrapodomorpha	clade	1338369
Acomys_russatus	16	Tetrapoda	clade	32523
Acomys_russatus	17	Amniota	clade	32524
Acomys_russatus	18	Mammalia	class	40674
Acomys_russatus	19	Theria	clade	32525
Acomys_russatus	20	Eutheria	clade	9347
Acomys_russatus	21	Boreoeutheria	clade	1437010
Acomys_russatus	22	Euarchontoglires	superorder	314146
Acomys_russatus	23	Glires	clade	314147
Acomys_russatus	24	Rodentia	order	9989
Acomys_russatus	25	Myomorpha	suborder	1963758
Acomys_russatus	26	Muroidea	clade	337687
Acomys_russatus	27	Muridae	family	10066
Acomys_russatus	28	Deomyinae	subfamily	326408
Acomys_russatus	29	Acomys	genus	10067
Acomys_russatus	30	Acomys russatus	species	60746
Acromyrmex_charruanus	1	cellular organisms	no rank	131567
Acromyrmex_charruanus	2	Eukaryota	superkingdom	2759
Acromyrmex_charruanus	3	Opisthokonta	clade	33154
Acromyrmex_charruanus	4	Metazoa	kingdom	33208
Acromyrmex_charruanus	5	Eumetazoa	clade	6072
Acromyrmex_charruanus	6	Bilateria	clade	33213
Acromyrmex_charruanus	7	Protostomia	clade	33317
Acromyrmex_charruanus	8	Ecdysozoa	clade	1206794
Acromyrmex_charruanus	9	Panarthropoda	clade	88770
Acromyrmex_charruanus	10	Arthropoda	phylum	6656
Acromyrmex_charruanus	11	Mandibulata	clade	197563
Acromyrmex_charruanus	12	Pancrustacea	clade	197562
Acromyrmex_charruanus	13	Hexapoda	subphylum	6960
Acromyrmex_charruanus	14	Insecta	class	50557
Acromyrmex_charruanus	15	Dicondylia	clade	85512
Acromyrmex_charruanus	16	Pterygota	subclass	7496
Acromyrmex_charruanus	17	Neoptera	infraclass	33340
Acromyrmex_charruanus	18	Endopterygota	cohort	33392
Acromyrmex_charruanus	19	Hymenoptera	order	7399
Acromyrmex_charruanus	20	Apocrita	suborder	7400
Acromyrmex_charruanus	21	Aculeata	infraorder	7434
Acromyrmex_charruanus	22	Formicoidea	superfamily	2153479
Acromyrmex_charruanus	23	Formicidae	family	36668
Acromyrmex_charruanus	24	Myrmicinae	subfamily	34695
Acromyrmex_charruanus	25	Attini	tribe	143999
Acromyrmex_charruanus	26	Acromyrmex	genus	64782
Acromyrmex_charruanus	27	Acromyrmex charruanus	species	2715315
Acromyrmex_echinatior	1	cellular organisms	no rank	131567
Acromyrmex_echinatior	2	Eukaryota	superkingdom	2759
Acromyrmex_echinatior	3	Opisthokonta	clade	33154
Acromyrmex_echinatior	4	Metazoa	kingdom	33208
Acromyrmex_echinatior	5	Eumetazoa	clade	6072
Acromyrmex_echinatior	6	Bilateria	clade	33213
Acromyrmex_echinatior	7	Protostomia	clade	33317
Acromyrmex_echinatior	8	Ecdysozoa	clade	1206794
Acromyrmex_echinatior	9	Panarthropoda	clade	88770
Acromyrmex_echinatior	10	Arthropoda	phylum	6656
Acromyrmex_echinatior	11	Mandibulata	clade	197563
Acromyrmex_echinatior	12	Pancrustacea	clade	197562
Acromyrmex_echinatior	13	Hexapoda	subphylum	6960
Acromyrmex_echinatior	14	Insecta	class	50557
Acromyrmex_echinatior	15	Dicondylia	clade	85512
Acromyrmex_echinatior	16	Pterygota	subclass	7496
Acromyrmex_echinatior	17	Neoptera	infraclass	33340
Acromyrmex_echinatior	18	Endopterygota	cohort	33392
Acromyrmex_echinatior	19	Hymenoptera	order	7399
Acromyrmex_echinatior	20	Apocrita	suborder	7400
Acromyrmex_echinatior	21	Aculeata	infraorder	7434
Acromyrmex_echinatior	22	Formicoidea	superfamily	2153479
Acromyrmex_echinatior	23	Formicidae	family	36668
Acromyrmex_echinatior	24	Myrmicinae	subfamily	34695
Acromyrmex_echinatior	25	Attini	tribe	143999
Acromyrmex_echinatior	26	Acromyrmex	genus	64782
Acromyrmex_echinatior	27	Acromyrmex echinatior	species	103372
Acromyrmex_heyeri	1	cellular organisms	no rank	131567
Acromyrmex_heyeri	2	Eukaryota	superkingdom	2759
Acromyrmex_heyeri	3	Opisthokonta	clade	33154
Acromyrmex_heyeri	4	Metazoa	kingdom	33208
Acromyrmex_heyeri	5	Eumetazoa	clade	6072
Acromyrmex_heyeri	6	Bilateria	clade	33213
Acromyrmex_heyeri	7	Protostomia	clade	33317
Acromyrmex_heyeri	8	Ecdysozoa	clade	1206794
Acromyrmex_heyeri	9	Panarthropoda	clade	88770
Acromyrmex_heyeri	10	Arthropoda	phylum	6656
Acromyrmex_heyeri	11	Mandibulata	clade	197563
Acromyrmex_heyeri	12	Pancrustacea	clade	197562
Acromyrmex_heyeri	13	Hexapoda	subphylum	6960
Acromyrmex_heyeri	14	Insecta	class	50557
Acromyrmex_heyeri	15	Dicondylia	clade	85512
Acromyrmex_heyeri	16	Pterygota	subclass	7496
Acromyrmex_heyeri	17	Neoptera	infraclass	33340
Acromyrmex_heyeri	18	Endopterygota	cohort	33392
Acromyrmex_heyeri	19	Hymenoptera	order	7399
Acromyrmex_heyeri	20	Apocrita	suborder	7400
Acromyrmex_heyeri	21	Aculeata	infraorder	7434
Acromyrmex_heyeri	22	Formicoidea	superfamily	2153479
Acromyrmex_heyeri	23	Formicidae	family	36668
Acromyrmex_heyeri	24	Myrmicinae	subfamily	34695
Acromyrmex_heyeri	25	Attini	tribe	143999
Acromyrmex_heyeri	26	Acromyrmex	genus	64782
Acromyrmex_heyeri	27	Acromyrmex heyeri	species	230685
Acromyrmex_insinuator	1	cellular organisms	no rank	131567
Acromyrmex_insinuator	2	Eukaryota	superkingdom	2759
Acromyrmex_insinuator	3	Opisthokonta	clade	33154
Acromyrmex_insinuator	4	Metazoa	kingdom	33208
Acromyrmex_insinuator	5	Eumetazoa	clade	6072
Acromyrmex_insinuator	6	Bilateria	clade	33213
Acromyrmex_insinuator	7	Protostomia	clade	33317
Acromyrmex_insinuator	8	Ecdysozoa	clade	1206794
Acromyrmex_insinuator	9	Panarthropoda	clade	88770
Acromyrmex_insinuator	10	Arthropoda	phylum	6656
Acromyrmex_insinuator	11	Mandibulata	clade	197563
Acromyrmex_insinuator	12	Pancrustacea	clade	197562
Acromyrmex_insinuator	13	Hexapoda	subphylum	6960
Acromyrmex_insinuator	14	Insecta	class	50557
Acromyrmex_insinuator	15	Dicondylia	clade	85512
Acromyrmex_insinuator	16	Pterygota	subclass	7496
Acromyrmex_insinuator	17	Neoptera	infraclass	33340
Acromyrmex_insinuator	18	Endopterygota	cohort	33392
Acromyrmex_insinuator	19	Hymenoptera	order	7399
Acromyrmex_insinuator	20	Apocrita	suborder	7400
Acromyrmex_insinuator	21	Aculeata	infraorder	7434
Acromyrmex_insinuator	22	Formicoidea	superfamily	2153479
Acromyrmex_insinuator	23	Formicidae	family	36668
Acromyrmex_insinuator	24	Myrmicinae	subfamily	34695
Acromyrmex_insinuator	25	Attini	tribe	143999
Acromyrmex_insinuator	26	Acromyrmex	genus	64782
Acromyrmex_insinuator	27	Acromyrmex insinuator	species	230686
Acropora_digitifera	1	cellular organisms	no rank	131567
Acropora_digitifera	2	Eukaryota	superkingdom	2759
Acropora_digitifera	3	Opisthokonta	clade	33154
Acropora_digitifera	4	Metazoa	kingdom	33208
Acropora_digitifera	5	Eumetazoa	clade	6072
Acropora_digitifera	6	Cnidaria	phylum	6073
Acropora_digitifera	7	Anthozoa	class	6101
Acropora_digitifera	8	Hexacorallia	subclass	6102
Acropora_digitifera	9	Scleractinia	order	6125
Acropora_digitifera	10	Astrocoeniina	suborder	123757
Acropora_digitifera	11	Acroporidae	family	6126
Acropora_digitifera	12	Acropora	genus	6127
Acropora_digitifera	13	Acropora digitifera	species	70779
Acropora_millepora	1	cellular organisms	no rank	131567
Acropora_millepora	2	Eukaryota	superkingdom	2759
Acropora_millepora	3	Opisthokonta	clade	33154
Acropora_millepora	4	Metazoa	kingdom	33208
Acropora_millepora	5	Eumetazoa	clade	6072
Acropora_millepora	6	Cnidaria	phylum	6073
Acropora_millepora	7	Anthozoa	class	6101
Acropora_millepora	8	Hexacorallia	subclass	6102
Acropora_millepora	9	Scleractinia	order	6125
Acropora_millepora	10	Astrocoeniina	suborder	123757
Acropora_millepora	11	Acroporidae	family	6126
Acropora_millepora	12	Acropora	genus	6127
Acropora_millepora	13	Acropora millepora	species	45264
Actinia_tenebrosa	1	cellular organisms	no rank	131567
Actinia_tenebrosa	2	Eukaryota	superkingdom	2759
Actinia_tenebrosa	3	Opisthokonta	clade	33154
Actinia_tenebrosa	4	Metazoa	kingdom	33208
Actinia_tenebrosa	5	Eumetazoa	clade	6072
Actinia_tenebrosa	6	Cnidaria	phylum	6073
Actinia_tenebrosa	7	Anthozoa	class	6101
Actinia_tenebrosa	8	Hexacorallia	subclass	6102
Actinia_tenebrosa	9	Actiniaria	order	6103
Actinia_tenebrosa	10	Actiniidae	family	42822
Actinia_tenebrosa	11	Actinia	genus	6104
Actinia_tenebrosa	12	Actinia tenebrosa	species	6105
Acyrthosiphon_pisum	1	cellular organisms	no rank	131567
Acyrthosiphon_pisum	2	Eukaryota	superkingdom	2759
Acyrthosiphon_pisum	3	Opisthokonta	clade	33154
Acyrthosiphon_pisum	4	Metazoa	kingdom	33208
Acyrthosiphon_pisum	5	Eumetazoa	clade	6072
Acyrthosiphon_pisum	6	Bilateria	clade	33213
Acyrthosiphon_pisum	7	Protostomia	clade	33317
Acyrthosiphon_pisum	8	Ecdysozoa	clade	1206794
Acyrthosiphon_pisum	9	Panarthropoda	clade	88770
Acyrthosiphon_pisum	10	Arthropoda	phylum	6656
Acyrthosiphon_pisum	11	Mandibulata	clade	197563
Acyrthosiphon_pisum	12	Pancrustacea	clade	197562
Acyrthosiphon_pisum	13	Hexapoda	subphylum	6960
Acyrthosiphon_pisum	14	Insecta	class	50557
Acyrthosiphon_pisum	15	Dicondylia	clade	85512
Acyrthosiphon_pisum	16	Pterygota	subclass	7496
Acyrthosiphon_pisum	17	Neoptera	infraclass	33340
Acyrthosiphon_pisum	18	Paraneoptera	cohort	33342
Acyrthosiphon_pisum	19	Hemiptera	order	7524
Acyrthosiphon_pisum	20	Sternorrhyncha	suborder	33373
Acyrthosiphon_pisum	21	Aphidomorpha	infraorder	33380
Acyrthosiphon_pisum	22	Aphidoidea	superfamily	33385
Acyrthosiphon_pisum	23	Aphididae	family	27482
Acyrthosiphon_pisum	24	Aphidinae	subfamily	133076
Acyrthosiphon_pisum	25	Macrosiphini	tribe	33386
Acyrthosiphon_pisum	26	Acyrthosiphon	genus	7028
Acyrthosiphon_pisum	27	Acyrthosiphon pisum	species	7029
Adelges_cooleyi	1	cellular organisms	no rank	131567
Adelges_cooleyi	2	Eukaryota	superkingdom	2759
Adelges_cooleyi	3	Opisthokonta	clade	33154
Adelges_cooleyi	4	Metazoa	kingdom	33208
Adelges_cooleyi	5	Eumetazoa	clade	6072
Adelges_cooleyi	6	Bilateria	clade	33213
Adelges_cooleyi	7	Protostomia	clade	33317
Adelges_cooleyi	8	Ecdysozoa	clade	1206794
Adelges_cooleyi	9	Panarthropoda	clade	88770
Adelges_cooleyi	10	Arthropoda	phylum	6656
Adelges_cooleyi	11	Mandibulata	clade	197563
Adelges_cooleyi	12	Pancrustacea	clade	197562
Adelges_cooleyi	13	Hexapoda	subphylum	6960
Adelges_cooleyi	14	Insecta	class	50557
Adelges_cooleyi	15	Dicondylia	clade	85512
Adelges_cooleyi	16	Pterygota	subclass	7496
Adelges_cooleyi	17	Neoptera	infraclass	33340
Adelges_cooleyi	18	Paraneoptera	cohort	33342
Adelges_cooleyi	19	Hemiptera	order	7524
Adelges_cooleyi	20	Sternorrhyncha	suborder	33373
Adelges_cooleyi	21	Aphidomorpha	infraorder	33380
Adelges_cooleyi	22	Phylloxeroidea	superfamily	33382
Adelges_cooleyi	23	Adelgidae	family	33383
Adelges_cooleyi	24	Adelges	genus	38118
Adelges_cooleyi	25	Gilletteella	subgenus	749396
Adelges_cooleyi	26	Adelges cooleyi	species	133065
Adineta_ricciae	1	cellular organisms	no rank	131567
Adineta_ricciae	2	Eukaryota	superkingdom	2759
Adineta_ricciae	3	Opisthokonta	clade	33154
Adineta_ricciae	4	Metazoa	kingdom	33208
Adineta_ricciae	5	Eumetazoa	clade	6072
Adineta_ricciae	6	Bilateria	clade	33213
Adineta_ricciae	7	Protostomia	clade	33317
Adineta_ricciae	8	Spiralia	clade	2697495
Adineta_ricciae	9	Gnathifera	clade	2697496
Adineta_ricciae	10	Rotifera	phylum	10190
