species	tRNA_GFF	prop_cds_expressed	nb_genes	nb_genes_filtered	nb_codon_not_decoded	rho_aa_fpkm	pval_aa_fpkm	rho_gc3_gci	pval_gc3_gci	gc3	gci	nb_aa_POC1	nb_busco_POC1	expressed_overused_POC1	expressed_overused_background_POC1	constraint_overused_POC1	nb_aa_POC2	nb_busco_POC2	expressed_overused_POC2	expressed_overused_background_POC2	constraint_overused_POC2	nb_aa_POCs	nb_busco_POCs	expressed_overused_POCs	expressed_overused_background_POCs	constraint_overused_POCs
Microtus_ochrogaster	TRUE	0.816877506942302	20077	15885	0	0.756595754107771	0.000113076201203124	0.78142475205424	0	0.605142490166724	0.459717748345757	17	937	3.131	2.589	2.22607703284809	6	937	-1.87400000000001	-0.584000000000007	0.242970524153352	23	937	2.199	2.117	2.06724646795533
Melospiza_melodia	FALSE	0.838159031979257	14000	3879	0	0.643466864509449	0.00220595307957124	0.822613988954041	0	0.628420649524791	0.446665350640623	22	806	4.606	3.472	0.706681986352642	6	806	4.775	3.30299999999999	2.42476732218705	28	806	4.704	3.41899999999999	0.940817789300286
Lonchura_striata	TRUE	0.822229661868095	15577	12280	0	0.795177116854619	0.0000278798554082042	0.846433937882637	0	0.618020715088811	0.453620957244339	21	944	10.589	7.26299999999999	3.24559414678761	5	944	18.865	10.147	4.18323089703911	26	944	11.929	7.789	3.50664338642076
Callithrix_jacchus	TRUE	0.874825824431027	22252	18835	0	0.751888790567584	0.000131840068023983	0.824615393140113	0	0.594045783313297	0.458472489535324	17	869	2.00900000000001	0.758000000000009	-1.1974285270718	6	869	2.478	0.623000000000001	-0.164579079952609	23	869	2.277	0.879999999999992	-0.770391877897597
Pelodiscus_sinensis	TRUE	0.799853537629563	19518	14199	0	0.625517899662072	0.00318124941494289	0.79156945257227	0	0.534223746285003	0.465738408686315	17	928	1.459	1.394	-0.0938209753113928	2	928	-3.31299999999999	-1.75599999999999	-0.746667653834082	19	928	1.118	1.15499999999999	0.0107381262647088
Panthera_tigris	TRUE	0.761181585373117	18509	12781	0	0.545944506952286	0.012767909499624	0.87128967776262	0	0.588787599934601	0.45947419571287	21	944	3.45300000000001	2.61400000000001	1.26853172579635	5	944	3.835	1.862	0.141639717010211	26	944	3.627	2.543	0.987520238714784
Monodelphis_domestica	TRUE	0.825410972469796	20903	16670	0	0.583805178385833	0.00688135336652142	0.794142099401884	0	0.535917402148581	0.416016648590996	25	932	2.151	2.51500000000001	0.838243183306886	4	932	-1.45500000000001	-0.126000000000009	0.491118647163047	29	932	1.859	2.417	0.529087199883149
Heterocephalus_glaber	TRUE	0.805808294540838	19978	15233	0	0.595774614551689	0.005572770931311	0.844643719814445	0	0.613348118612476	0.460235309732211	16	935	1.988	1.915	0.77184725309335	6	935	0.775999999999999	-0.0809999999999977	-0.280284111627482	22	935	2.029	1.752	0.952764298113939
Macaca_mulatta	TRUE	0.880155831507183	21121	18074	0	0.792313349751464	0.0000312368438291016	0.824884492871926	0	0.598297015378808	0.461165034869863	18	928	1.609	0.696000000000002	0.0873767658679137	5	928	-0.653999999999999	-1.225	-0.971735591605583	23	928	1.30400000000001	0.448000000000004	0.0318450687487815
Ornithorhynchus_anatinus	TRUE	0.789032620922385	18200	14029	0	0.817463825551155	0.0000107870323604555	0.842606284907162	0	0.69954136284237	0.518707958177693	14	954	0.112000000000001	0.659999999999999	1.20349213397973	5	954	2.826	0.309999999999994	0.954573239643097	19	954	0.739000000000001	1.023	2.23686538672219
Erinaceus_europaeus	TRUE	0.774160008755609	19313	14147	0	0.614111422845395	0.0039698505453533	0.854031111870747	0	0.618974698484704	0.465327344256812	22	936	1.91600000000001	1.90500000000001	0.127259348551589	6	936	-0.257999999999992	-0.921999999999995	0.319068628452623	28	936	1.532	1.349	-0.0617399406001029
Felis_catus	TRUE	0.785484373377635	19748	15130	0	0.776063723888804	0.0000577058560725104	0.861478984711897	0	0.61935761256059	0.470181096582955	20	955	2.005	1.816	0.773755510645557	5	955	-1.791	-1.798	-0.526395361230425	25	955	1.50800000000001	1.33500000000001	0.520203965950439
Rattus_norvegicus	TRUE	0.766110984242978	22936	16774	0	0.631262889661069	0.00283632099684709	0.757020599445385	0	0.599130918689003	0.45968822102693	21	894	1.452	0.743999999999989	0.115096836646267	6	894	-1.422	-0.385000000000002	0.642320803035323	27	894	0.995999999999997	0.66199999999999	0.03741890969714
Mus_musculus	TRUE	0.765218979768918	22055	16756	0	0.624910109735382	0.00321969564135843	0.766687728219403	0	0.598407921470745	0.456308967255511	18	940	3.082	2.447	1.57107011816056	5	940	-1.17100000000001	-0.311000000000011	0.160945494479237	23	940	2.366	2.016	1.5292981162174
Bos_taurus	TRUE	0.745545711225781	21039	15315	0	0.313017394856489	0.179018830516101	0.846167433201235	0	0.627448797074201	0.466437176462139	21	942	-0.263999999999998	0.213000000000008	2.05089194311909	1	942	-1.759	-1.51	0.884490138216754	22	942	-0.155	0.319000000000003	2.04569802796028
Crocodylus_porosus	TRUE	0.888308528906697	14717	12415	0	0.331322254142739	0.153582978778109	0.750211183754371	0	0.533098362079726	0.458704767526367	17	875	-0.0439999999999996	0.828999999999996	-1.45795627180217	5	875	4.28999999999999	3.58999999999999	-4.34841549057406	22	875	0.536999999999999	1.241	-1.26517487984815
Gallus_gallus	TRUE	0.907158376886488	17477	15448	0	0.711112372124164	0.000439668336332138	0.87864422228205	0	0.602767265023421	0.474848027311497	17	932	3.628	3.968	1.17470953603295	6	932	0.319000000000003	-0.202999999999998	1.67407629968708	23	932	3.11	3.356	1.59034318559056
Loxodonta_africana	TRUE	0.880277791756832	21094	17492	0	0.700263306385088	0.000586046443119324	0.841371387227204	0	0.588260491326298	0.447863108226819	20	950	0.0690000000000024	0.877000000000006	-1.61120396292235	2	950	-1.39900000000001	-1.15700000000001	1.14632673711959	22	950	0.0359999999999971	0.81	-1.23744506402474
Cervus_elaphus	FALSE	0.676198147402336	19243	8395	0	0.147479349499692	0.534936713422264	0.821000372757336	0	0.6460636505475	0.477445650549283	20	828	0.631999999999999	0.345999999999996	0.122783846463315	1	828	3.69499999999999	0.517999999999991	2.71017083257181	21	828	0.855	0.535000000000002	0.251036225565171
Sus_scrofa	TRUE	0.712780759292387	20673	14344	0	0.82136147215093	0.00000901827692605861	0.85009029879984	0	0.627168110150113	0.473206433177393	23	947	1.993	1.728	2.37290225256227	4	947	-0.38999999999999	-1.94399999999999	-0.994653040915439	27	947	1.766	1.277	1.94762108965891
Canis_lupus	TRUE	0.831000805477245	20248	16507	0	0.733711282255228	0.000231537259618166	0.847126482850201	0	0.619098233401931	0.46850890323383	18	931	4.703	2.735	0.657324927192893	6	931	9.36	1.75900000000001	-0.627312525279783	24	931	5.719	2.70599999999999	0.4706014328902
Xenopus_tropicalis	TRUE	0.799033183946825	21199	15868	0	0.763444958089005	0.0000898858337417296	0.642208085397016	0	0.480924567705724	0.400807725427909	21	949	0.821000000000005	1.074	0.0786390790697034	2	949	-0.152000000000002	-0.147999999999998	2.74387314859775	23	949	0.654000000000005	0.868000000000008	0.364070737030431
Homo_sapiens	TRUE	0.856966342114368	20322	17339	0	0.505643483998943	0.022939362219786	0.829416359284059	0	0.596583492858252	0.459487266513259	20	947	1.566	0.638	-0.756812293037312	5	947	0.783	-0.170999999999999	-0.475065883638559	25	947	1.52300000000001	0.558000000000008	-0.606226060693366
Equus_caballus	TRUE	0.800126195214289	21129	16485	0	0.708585140923872	0.000470635315848484	0.856753141526918	0	0.621443880978617	0.465029201963418	19	941	5.723	4.18	1.27412356532031	5	941	4.45	1.801	-0.251760803440937	24	941	5.618	3.94	1.01984622704578
Blattella_germanica	FALSE	0.403377184370705	28676	10272	0	0.68272531286823	0.000909499872593694	0.111738216519725	0.0000000000000000000000000020493968009263	0.384490032829206	0.3370503083515	18	912	0.117	0.135999999999997	-0.662552817186834	1	912	2.731	3.187	-0.554253119266651	19	912	0.205	0.236000000000003	-0.72484367709012
Cryptotermes_secundus	TRUE	0.959476054031928	12810	11720	0	0.797590412975308	0.0000252978470961927	0.559093974396082	0	0.442959890499121	0.391558687332138	19	947	0.246999999999997	0.232999999999994	2.67126085092764	6	947	1.634	2.529	3.87415821437129	25	947	0.763000000000003	1.019	2.67880163420126
