# aa_name : Amino acid 3-letter code
# nb_copy_Caenorhabditis_elegans : Number of tRNA gene copy number per amino acid in Caenorhabditis elegans
# nb_copy_Hydra_vulgaris : Number of tRNA gene copy number per amino acid in Hydra vulgaris
aa_name	nb_copy_Caenorhabditis_elegans	nb_copy_Hydra_vulgaris
Ala	32	22
Arg	39	23
Asn	20	16
Asp	24	20
Cys	13	9
Gln	27	12
Glu	41	21
Gly	51	33
His	18	7
Ile	28	17
Leu	36	33
Lys	46	24
Met	18	13
Phe	14	13
Pro	41	29
Ser	38	25
Thr	33	17
Trp	12	8
Tyr	18	10
Val	30	24
