Species	Base-substitution Mutation rate	Genome size (Mb)	Silent-site diversity	Dry Mass at Maturity  (µg)	Ne	Dry Mass at Maturity  (kg)
Tursiops truncatus	0,00000000883287	2378,52000	0,00124	114000000000,00	35266	114
Gorilla gorilla	0,00000001125000	3044,87000	0,00158	37650000000,00	35167	37,65
Ornithorhynchus anatinus	0,00000000700000	2300,00000	0,00090	375000000,000	32172	0,375
Panthera pardus	0,00000000883625	2578,02000	0,00104	12300000000,00	29326	12,3
Pelecanus crispus	0,00000000912221	1160,92000	0,00105	3000000000,00	28755	3
Ceratotherium simum simum	0,00000000956234	2495,81000	0,00101	690000000000,00	26501	690
Sarcophilus harrisii	0,00000000594535	3086,67000	0,00060	2400000000,00	25388	2,4
Ailurus fulgens	0,00000001310000	2342,93905	0,00131	1500000000	25033	1,5
Ara glaucogularis	0,00000001000000	1139,70000	0,00096	240000000	23988	0,24
Homo sapiens	0,00000001239000	3117,28000	0,00114	18600000000,00	22118	18,6
Platalea ajaja	0,00000001693960	1222,42798	0,00136	390000000,00	20037	0,39
Pan troglodytes	0,00000001265700	3050,40000	NA	12675000000,00	16907	12,675
Rhea pennata	0,00000003978900	1168,29000	0,00261	6000000000,00	16422	6
Odobenus rosmarus	0,00000001323720	2400,15000	0,00081	300000000000,00	12699	300
Chlorocebus aethiops	0,00000000910000	2823,24000	0,00040	1413000000,00	10856	1,413
Megaptera novaeangliae	0,00000001122000	2265,79000	NA	NA	5200	#VALEUR !
