species	median_copy_tRNA	nb_genes	nb_genes_filtered	nb_codon_not_decoded	rho_aa_fpkm	pval_aa_fpkm	rho_gc3_gci	pval_gc3_gci	gc_duc_ag	gc_abond_ag	gc_abond_duet	gc2	gc2_top5	gc4	gc4_top5	gc3	gc3_top5	std_gc3	var_gc3	gci	gci_top5	std_gci	var_gci	average_RTF_abundant_tRNA_WB_WC_notambiguous	expressed_overused_WB_WC_notambiguous	expressed_overused_background_WB_WC_notambiguous	constraint_overused_WB_WC_notambiguous	average_RTF_abundant_tRNA_WC_duet_ambiguous	expressed_overused_WC_duet_ambiguous	expressed_overused_background_WC_duet_ambiguous	constraint_overused_WC_duet_ambiguous
Microtus_ochrogaster	0.00024904119141306	20077	15885	0	0.756595754107771	0.000113076201203124	0.78142475205424	0	0.583333333333333	0.5	1	0.653919334395454	0.673986584957098	0.542754870960266	0.559122831956789	0.605142490166724	0.617438587918751	0.000922569187195801	0.0135202620835162	0.459717748345757	0.467780199240185	0.000483372490286376	0.00342692936035103	1.79322857833887	0.03131	0.02589	0.0219322685211968	2	-0.0187400000000001	-0.00584000000000007	0.00289889751734973
Melospiza_melodia	0.000214285714285714	14000	3879	0	0.643466864509449	0.00220595307957124	0.822613988954041	0	1	0.545454545454545	0.75	0.659343056094424	0.708770668831856	0.554188594957144	0.614232310549825	0.628420649524791	0.677081881659486	0.00268810892504668	0.0280293808909197	0.446665350640623	0.471874315901488	0.00147768501572742	0.00757692892979757	1.86287619022581	0.04606	0.03472	0.00567962791629006	2	0.04775	0.0330299999999999	0.0304259379004925
Lonchura_striata	0.000192591641522758	15577	12280	0	0.795177116854619	0.0000278798554082042	0.846433937882637	0	1	0.8	1	0.640408787734086	0.773837041048625	0.551685309829132	0.709656183675786	0.618020715088811	0.754757326271959	0.00155607830318683	0.0297345425397675	0.453620957244339	0.544236407390782	0.000888487029731485	0.00923766648181659	1.88195019266448	0.10589	0.0726299999999999	0.03648760660504	2	0.18865	0.10147	0.0408209687973733
Callithrix_jacchus	0.000224698903469351	22252	18835	0	0.751888790567584	0.000131840068023983	0.824615393140113	0	0.666666666666667	0.454545454545455	0.75	0.637822154714259	0.691651876638818	0.538622684469939	0.582024751641181	0.594045783313297	0.636305427455948	0.00115094605755739	0.0249502880442087	0.458472489535324	0.491629456278093	0.000624314861396532	0.00643079949260326	1.76610039041389	0.0200900000000001	0.00758000000000009	-0.00928861280107302	2	0.02478	0.00623000000000001	-0.00418681740266819
Pelodiscus_sinensis	0.000256173788297981	19518	14199	0	0.625517899662072	0.00318124941494289	0.79156945257227	0	0.25	0.461538461538462	0.6	0.548642309124303	0.550779427260311	0.464099179694393	0.460251587429607	0.534223746285003	0.533127334686924	0.0013540756225898	0.0260341617212341	0.465738408686315	0.462276196991955	0.000617100137317769	0.00512421406945072	1.94484783779459	0.01459	0.01394	-0.000938209753113928	2	-0.0331299999999999	-0.0175599999999999	-0.00746667653834082
Panthera_tigris	0.000270138851369604	18509	12781	0	0.545944506952286	0.012767909499624	0.87128967776262	0	1	0.454545454545455	1	0.617870024277588	0.668826994959977	0.539072994280848	0.589906894948187	0.588787599934601	0.638310729394527	0.00135861756649954	0.0235917026654666	0.45947419571287	0.484150051830838	0.000787487229258679	0.00753155337470173	1.96342040736441	0.0345300000000001	0.0261400000000001	0.0100829516614462	2	0.03835	0.01862	0.00127916725581967
Monodelphis_domestica	0.000239200114816055	20903	16670	0	0.583805178385833	0.00688135336652142	0.794142099401884	0	0.25	0.416666666666667	0.75	0.547693856597472	0.555645826835749	0.480600313789243	0.479631035837226	0.535917402148581	0.536030790067978	0.00110271982319711	0.0202705701112261	0.416016648590996	0.422648971061997	0.000600993190047326	0.005621243771803	1.72801890591038	0.02151	0.0251500000000001	0.00734746362044991	2	-0.0145500000000001	-0.00126000000000009	0.00188794740079956
Heterocephalus_glaber	0.000200220242266493	19978	15233	0	0.595774614551689	0.005572770931311	0.844643719814445	0	0.5	0.454545454545455	0.6	0.660453458809415	0.684484327355535	0.555398409003563	0.579864719879173	0.613348118612476	0.635408145000427	0.00129168478419721	0.0254154924784411	0.460235309732211	0.475866377615926	0.000745107060413315	0.00790194143652313	1.76711778914464	0.01988	0.01915	0.00674507156156423	2	0.00775999999999999	-0.000809999999999977	-0.000908785159036918
Macaca_mulatta	0.000284077458453672	21121	18074	0	0.792313349751464	0.0000312368438291016	0.824884492871926	0	0.333333333333333	0.333333333333333	0.5	0.628145626350622	0.660679071630059	0.545128052772628	0.569091668505723	0.598297015378808	0.621444429653449	0.00119910092576814	0.0259875749274372	0.461165034869863	0.485929092047856	0.000632231643973118	0.00655935353542802	1.80905281351489	0.01609	0.00696000000000002	0.00106283869129736	2	-0.00653999999999999	-0.01225	-0.0093303864391503
Ornithorhynchus_anatinus	0.000604395604395604	18200	14029	0	0.817463825551155	0.0000107870323604555	0.842606284907162	0	0.916666666666667	0.461538461538462	0.6	0.678400446859787	0.703306557717102	0.682424561413735	0.70485543829986	0.69954136284237	0.724204062484424	0.00142072439681894	0.0283169446405715	0.518707958177693	0.53551483430408	0.000751094347090534	0.00758377056118411	1.70674299164918	0.00112000000000001	0.00659999999999999	0.0118996574716779	2	0.02826	0.00309999999999994	0.0103411163921238
Erinaceus_europaeus	0.000258892973644695	19313	14147	0	0.614111422845395	0.0039698505453533	0.854031111870747	0	0.333333333333333	0.454545454545455	1	0.659909791469418	0.679747257201224	0.56408279182476	0.577507956104164	0.618974698484704	0.634220263332921	0.00143835790680754	0.0292683529528678	0.465327344256812	0.474487521743986	0.000725645508812874	0.0070048463635353	1.86830821799533	0.0191600000000001	0.0190500000000001	0.00322382573015534	2	-0.00257999999999992	-0.00921999999999995	0.00520411102152041
Felis_catus	0.000405104314360948	19748	15130	0	0.776063723888804	0.0000577058560725104	0.861478984711897	0	0.25	0.5	1	0.642264936735617	0.646629088621445	0.576698030967723	0.577973782129437	0.61935761256059	0.623501461402275	0.00132968247020228	0.0267506792847518	0.470181096582955	0.480036979876012	0.000764728447990754	0.00832242540573628	1.87008267022254	0.02005	0.01816	0.00979287011830943	2	-0.01791	-0.01798	-0.00756023916748516
Rattus_norvegicus	0.000217997907220091	22936	16774	0	0.631262889661069	0.00283632099684709	0.757020599445385	0	0.416666666666667	0.461538461538462	0.8	0.652110164203417	0.676510311335523	0.533377561466333	0.542854485951561	0.599130918689003	0.608116470035391	0.000856113520642308	0.0122941738624404	0.45968822102693	0.469940003711082	0.000429257999829794	0.00285606767147707	1.8849387090864	0.01452	0.00743999999999989	0.00289917804439022	2	-0.01422	-0.00385000000000002	0.00437259108535759
Mus_musculus	0.000272047154840172	22055	16756	0	0.624910109735382	0.00321969564135843	0.766687728219403	0	0.416666666666667	0.545454545454545	1	0.643688283874738	0.668445070241935	0.533937170982882	0.547724477787813	0.598407921470745	0.609883752584219	0.000889896766824239	0.0132693487789045	0.456308967255511	0.468429581639196	0.000437700938111288	0.00298350821808359	1.77143890631135	0.03082	0.02447	0.0172663175641218	2	-0.0117100000000001	-0.00311000000000011	0.00416071546743446
Bos_taurus	0.0005703693141309	21039	15315	0	0.313017394856489	0.179018830516101	0.846167433201235	0	0.0833333333333333	0.538461538461538	0.6	0.632436330984951	0.629644991979132	0.579300881131992	0.571482586750831	0.627448797074201	0.622673123574799	0.00131308946719297	0.0264061834766855	0.466437176462139	0.470919103494543	0.000710471786795083	0.0072086226525579	1.82403319686635	-0.00263999999999998	0.00213000000000008	0.0197455429657671	2	-0.01759	-0.0151	0.00647020980103175
Crocodylus_porosus	0.000271794523340355	14717	12415	0	0.331322254142739	0.153582978778109	0.750211183754371	0	1	0.363636363636364	0.4	0.560586424994767	0.612086725240857	0.456966111804276	0.506376326988972	0.533098362079726	0.576976738926352	0.00140149807410146	0.024385503913981	0.458704767526367	0.470131075059872	0.000655578908562356	0.00509895388029388	1.99176001525625	-0.000439999999999996	0.00828999999999996	-0.0145795627180217	2	0.0428999999999999	0.0358999999999999	-0.0434841549057406
Gallus_gallus	0.000228872232076443	17477	15448	0	0.711112372124164	0.000439668336332138	0.87864422228205	0	0.5	0.461538461538462	0.8	0.633819556362073	0.670001278705079	0.532866240702653	0.558079091571002	0.602767265023421	0.625413534869959	0.00134101453611916	0.0277804471450083	0.474848027311497	0.5005567342111	0.000862394430707279	0.0107126027158715	1.8012151591099	0.03628	0.03968	0.00970694089327306	2	0.00319000000000003	-0.00202999999999998	0.0228508360370547
Loxodonta_africana	0.000663695837678961	21094	17492	0	0.700263306385088	0.000586046443119324	0.841371387227204	0	0.5	0.230769230769231	0.4	0.599168693704933	0.614855746134813	0.53340401901378	0.544921938748835	0.588260491326298	0.599129379479631	0.0010933728024874	0.0209110577786535	0.447863108226819	0.453441525263054	0.000611447319136371	0.00550034342785105	2.02110501220621	0.000690000000000024	0.00877000000000006	-0.0170429616065264	2	-0.0139900000000001	-0.0115700000000001	0.013469265674399
Cervus_elaphus	0.00051966949020423	19243	8395	0	0.147479349499692	0.534936713422264	0.821000372757336	0	0.666666666666667	0.545454545454545	0.6	0.653447303876115	0.675526053781707	0.596518163306778	0.620020740492603	0.6460636505475	0.668473065548315	0.00168012263678414	0.0236975073665566	0.477445650549283	0.500485320528846	0.00103227317536099	0.00869093498229585	1.74363939955141	0.00631999999999999	0.00345999999999996	0.00236727859275826	2	0.0369499999999999	0.00517999999999991	0.0301220103528055
Sus_scrofa	0.000338605911091762	20673	14344	0	0.82136147215093	0.00000901827692605861	0.85009029879984	0	0.333333333333333	0.461538461538462	0.6	0.645025436518722	0.660296562780943	0.581475883217946	0.591849006842195	0.627168110150113	0.638256945703216	0.00137419741163551	0.0270874753390342	0.473206433177393	0.486761181142065	0.000747775160315764	0.00754820465251071	1.74547715409808	0.01993	0.01728	0.0227422170459425	2	-0.0038999999999999	-0.0194399999999999	-0.00835653211256848
Canis_lupus	0.00029632556301857	20248	16507	0	0.733711282255228	0.000231537259618166	0.847126482850201	0	1	0.5	0.8	0.655606620344493	0.750458912439817	0.572817327742238	0.661429028982092	0.619098233401931	0.702304439877287	0.00129971416141003	0.027884563670911	0.46850890323383	0.53778219592317	0.000785823873401546	0.00947768406779986	1.73662041460955	0.04703	0.02735	0.00644305973247006	2	0.0936	0.0175900000000001	-0.00362453135025403
Xenopus_tropicalis	0.00188688145667248	21199	15868	0	0.763444958089005	0.0000898858337417296	0.642208085397016	0	0.666666666666667	0.333333333333333	0.25	0.500830464574513	0.520044289593429	0.410658278486073	0.405530475754942	0.480924567705724	0.486927841542957	0.000813079462478626	0.0104903064328483	0.400807725427909	0.399921534733315	0.000337512939862197	0.00168616960167061	1.84086741146081	0.00821000000000005	0.01074	0.000786390790697034	2	-0.00152000000000002	-0.00147999999999998	0.0274387314859775
Homo_sapiens	0.000344454285995473	20322	17339	0	0.505643483998943	0.022939362219786	0.829416359284059	0	0.333333333333333	0.545454545454545	0.6	0.6292562765613	0.673209128920843	0.542921012546918	0.569967133638889	0.596583492858252	0.625999443692483	0.00123800999297167	0.0265749433296359	0.459487266513259	0.489264427477816	0.000643091634557085	0.00664767355392921	1.82132168397941	0.01566	0.00638	-0.00772788267851526	2	0.00783	-0.00170999999999999	-0.00344170208233702
Equus_caballus	0.000331298215722467	21129	16485	0	0.708585140923872	0.000470635315848484	0.856753141526918	0	1	0.583333333333333	1	0.648570483539211	0.694095234046332	0.575786636118858	0.6208443495866	0.621443880978617	0.664149824622182	0.00127186169629453	0.0266666663966523	0.465029201963418	0.500903092406979	0.000728610872581506	0.00816430822624083	1.81192309864627	0.05723	0.0418	0.0125681052140207	2	0.0445	0.01801	-0.00213688777686749
Blattella_germanica	0.00118566048263356	28676	10272	0	0.68272531286823	0.000909499872593694	0.111738216519725	0.0000000000000000000000000020493968009263	0.833333333333333	0.0769230769230769	0.2	0.397922040564908	0.444697555834277	0.307581753184205	0.308027817409696	0.384490032829206	0.410963927577254	0.00101055878999066	0.0104900649867774	0.3370503083515	0.333212690141657	0.000231041332551832	0.000500064751949753	1.86772206401311	0.00117	0.00135999999999997	-0.00662552817186834	2	0.02731	0.03187	-0.00554253119266651
Cryptotermes_secundus	0.000312256049960968	12810	11720	0	0.797590412975308	0.0000252978470961927	0.559093974396082	0	0.75	0.363636363636364	0.4	0.507873820474957	0.542104356002011	0.350069299050164	0.37664174190242	0.442959890499121	0.472605958227851	0.000899372409490087	0.0094799649667575	0.391558687332138	0.392553517873423	0.000278680770525232	0.000852195790225674	1.66415463621346	0.00246999999999997	0.00232999999999994	0.0267126085092764	2	0.01634	0.02529	0.0387415821437129
Zootermopsis_nevadensis	0.000323075680478152	12381	11533	2	0.77657203412742	0.0000566517219328007	0.598334212792032	0	0.166666666666667	0.2	0.4	0.497382118190926	0.518363851938764	0.362500733106746	0.350022208893101	0.447226974360888	0.446763539412302	0.000968604380743729	0.0108201965502844	0.361831578497272	0.355457104710989	0.000330520989618448	0.001200374440867	1.92890396497208	0.00508999999999998	0.00687999999999994	-0.00486434027099836	2	-0.04351	-0.01782	0.0485609546270863
Acyrthosiphon_pisum	0.000214892016761577	18614	12840	0	0.636295902317398	0.00256028354275286	0.53687878491845	0	0.166666666666667	0	0	0.275784480345418	0.284911937263736	0.332933221005684	0.293434913176787	0.36261690577984	0.3591859789528	0.00141360013059543	0.0256577268271775	0.251036241933109	0.254432861034953	0.000422509204066626	0.00211039283335342	1.99164345585466	0.03406	0.02187	-0.00992383837508115	2	-0.00558999999999998	0.0000600000000000045	-0.0330926572751638
Cimex_lectularius	0.000585823081429408	11949	11297	0	0.324812030075188	0.162323155769999	0.311662413502435	0.000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000104146867138113	0.916666666666667	0.3	0.2	0.450427184856921	0.490510109856074	0.431178690883947	0.439424575549617	0.466397544210079	0.495377107180901	0.00106948989278738	0.0129216061018579	0.314420770951734	0.306898152862649	0.000450119519786132	0.00207672771644811	2.04566409412558	0.0128	0.01041	0.0102529198130631	NA	NA	NA	NA
