species1	species2	rho	pval
Hydra_vulgaris	Microtus_ochrogaster	0.817264017074792	0.00000611653543576467
Hydra_vulgaris	Melospiza_melodia	0.734474669031676	0.000149868302010508
Hydra_vulgaris	Lonchura_striata	0.7870418007969	0.0000230659284676415
Hydra_vulgaris	Callithrix_jacchus	0.796610846549217	0.000015516153977007
Hydra_vulgaris	Pelodiscus_sinensis	0.694760856831361	0.000473786682054421
Hydra_vulgaris	Panthera_tigris	0.568772048903063	0.00713269981148255
Hydra_vulgaris	Monodelphis_domestica	0.661348130145344	0.00109600673564303
Hydra_vulgaris	Heterocephalus_glaber	0.656318192674342	0.00123273334301816
Hydra_vulgaris	Macaca_mulatta	0.809058711731307	0.0000089715141364354
Hydra_vulgaris	Ornithorhynchus_anatinus	0.855190412998977	0.000000784757243864311
Hydra_vulgaris	Erinaceus_europaeus	0.704924314647026	0.000359124144905705
Hydra_vulgaris	Felis_catus	0.806703589735337	0.00000998086183100019
Hydra_vulgaris	Rattus_norvegicus	0.681862621626957	0.000663161113059735
Hydra_vulgaris	Mus_musculus	0.675800380796057	0.000772374652293178
Hydra_vulgaris	Bos_taurus	0.371503006410736	0.0972860546060264
Hydra_vulgaris	Crocodylus_porosus	0.475167052432751	0.0294918252403582
Hydra_vulgaris	Gallus_gallus	0.801042048329663	0.0000128226814446669
Hydra_vulgaris	Loxodonta_africana	0.746016615197363	0.000103265330383656
Hydra_vulgaris	Cervus_elaphus	0.0923877879340183	0.690406681062144
Hydra_vulgaris	Sus_scrofa	0.782764600165673	0.0000273634298832484
Hydra_vulgaris	Canis_lupus	0.735591051697849	0.000144684126709372
Hydra_vulgaris	Xenopus_tropicalis	0.830894704371954	0.00000309909841424091
Hydra_vulgaris	Homo_sapiens	0.592713202872469	0.00463283006902452
Hydra_vulgaris	Equus_caballus	0.765299479166667	0.0000529692690782989
Hydra_vulgaris	Blattella_germanica	0.72339736989982	0.00021061993382944
Hydra_vulgaris	Cryptotermes_secundus	0.871945675631485	0.000000261264052131963
Hydra_vulgaris	Zootermopsis_nevadensis	0.711210080678901	0.000300846344366645
Hydra_vulgaris	Acyrthosiphon_pisum	0.782877604166667	0.0000272415126881531
Hydra_vulgaris	Cimex_lectularius	0.249105809608187	0.276186338472193
Hydra_vulgaris	Halyomorpha_halys	0.832519133497176	0.00000284661610306707
Hydra_vulgaris	Athalia_rosae	0.848664377814354	0.00000116140849030621
Hydra_vulgaris	Cephus_cinctus	0.766951318069265	0.0000498814408601488
Hydra_vulgaris	Orussus_abietinus	0.694708474455679	0.000474450292968153
